prev_index;exer;ndept;COMPTE_T;ident;lbudg;COMPTE;value;remboursement
0;2016;001;10;22010001000010;DEP AIN;1068;19914993.41;True
1;2016;001;13;22010001000010;DEP AIN;1341;3097417.0;True
2;2016;001;16;22010001000010;DEP AIN;165;0.0;True
3;2016;001;70;22010001000010;DEP AIN;70848;1164944.01;True
4;2016;001;73;22010001000010;DEP AIN;7322;348171.31;True
5;2016;001;74;22010001000010;DEP AIN;7482;37976.0;True
6;2016;001;75;22010001000010;DEP AIN;7535;258470.89;True
7;2016;001;76;22010001000010;DEP AIN;7688;2833.5;True
8;2016;001;77;22010001000010;DEP AIN;7718;54046.41;True
9;2016;002;10;22020002600015;DEP AISNE;1068;2954548.29;True
10;2016;002;13;22020002600015;DEP AISNE;1341;1925374.0;True
11;2016;002;16;22020002600015;DEP AISNE;16441;0.0;True
12;2016;002;70;22020002600015;DEP AISNE;7083;70390.09;True
13;2016;002;73;22020002600015;DEP AISNE;7322;358820.34;True
14;2016;002;74;22020002600015;DEP AISNE;7461;4456897.0;True
15;2016;002;75;22020002600015;DEP AISNE;7588;2075284.63;True
16;2016;002;76;22020002600015;DEP AISNE;761;4568.18;True
17;2016;002;77;22020002600015;DEP AISNE;7718;258543.54;True
18;2016;003;10;22030001600080;DEP ALLIER;1068;12386805.11;True
19;2016;003;13;22030001600080;DEP ALLIER;1341;0.0;True
20;2016;003;16;22030001600080;DEP ALLIER;16449;24816670.0;True
21;2016;003;70;22030001600080;DEP ALLIER;70848;251856.45;True
22;2016;003;73;22030001600080;DEP ALLIER;7322;262612.09;True
23;2016;003;74;22030001600080;DEP ALLIER;7461;2726563.0;True
24;2016;003;75;22030001600080;DEP ALLIER;7588;29509.87;True
25;2016;003;76;22030001600080;DEP ALLIER;7688;4066.66;True
26;2016;003;77;22030001600080;DEP ALLIER;7718;318824.56;True
27;2016;004;10;22040001400019;DEP ALPES-DE-HAUTE-PROVENCE;1068;5680433.23;True
28;2016;004;13;22040001400019;DEP ALPES-DE-HAUTE-PROVENCE;1341;1584271.0;True
29;2016;004;16;22040001400019;DEP ALPES-DE-HAUTE-PROVENCE;165;0.0;True
30;2016;004;70;22040001400019;DEP ALPES-DE-HAUTE-PROVENCE;70848;1087832.1;True
31;2016;004;73;22040001400019;DEP ALPES-DE-HAUTE-PROVENCE;7322;126757.23;True
32;2016;004;74;22040001400019;DEP ALPES-DE-HAUTE-PROVENCE;7482;17053.0;True
33;2016;004;75;22040001400019;DEP ALPES-DE-HAUTE-PROVENCE;7588;232266.78;True
34;2016;004;76;22040001400019;DEP ALPES-DE-HAUTE-PROVENCE;7688;5760.04;True
35;2016;004;77;22040001400019;DEP ALPES-DE-HAUTE-PROVENCE;7718;5448.69;True
36;2016;005;10;22050001100089;DEPARTEMENT DES HAUTES-ALPES;1068;2351154.52;True
37;2016;005;13;22050001100089;DEPARTEMENT DES HAUTES-ALPES;1341;1366683.0;True
38;2016;005;16;22050001100089;DEPARTEMENT DES HAUTES-ALPES;165;0.0;True
